cell,model,selection,n,n_raw_features,prevalence,AP_mean,AP_std,AUC_mean,AUC_std,elapsed_sec,cohort,rung,outcome
cohort_d|Demographics|ad_adnc,LR-l2,Block PCA,187,6,0.6417112299465241,0.7371255366590839,0.06554680123540363,0.5885378510378511,0.07815919611087851,4.0,cohort_d,Demographics,ad_adnc
cohort_d|Demographics|ad_adnc,LR-l1,Block PCA,187,6,0.6417112299465241,0.7469352808642573,0.07092819671653328,0.6068223443223444,0.08799244966098811,2.2,cohort_d,Demographics,ad_adnc
cohort_d|Demographics|ad_adnc,LR-elasticnet,Block PCA,187,6,0.6417112299465241,0.7484459146982354,0.06489885909275532,0.6025335775335776,0.0829545940392429,2.3,cohort_d,Demographics,ad_adnc
cohort_d|Demographics|ad_adnc,SVC-RBF,Block PCA,187,6,0.6417112299465241,0.7085977497317888,0.06940541280729556,0.5528846153846154,0.08377093972104031,3.0,cohort_d,Demographics,ad_adnc
cohort_d|Demographics|ad_adnc,RF,Block PCA,187,6,0.6417112299465241,0.7495102442180995,0.042973957188687836,0.593780525030525,0.06381802893352424,42.2,cohort_d,Demographics,ad_adnc
cohort_d|Demographics|ad_adnc,HistGB,Block PCA,187,6,0.6417112299465241,0.7521560379298059,0.0570081945390965,0.5939713064713066,0.07428587132589272,8.0,cohort_d,Demographics,ad_adnc
cohort_d|Demographics|lb_7reg,LR-l2,Block PCA,187,6,0.21390374331550802,0.33654826181434677,0.07063617284126787,0.5492720306513411,0.07513761516800656,2.1,cohort_d,Demographics,lb_7reg
cohort_d|Demographics|lb_7reg,LR-l1,Block PCA,187,6,0.21390374331550802,0.344838921315527,0.07987827189723214,0.5576532567049809,0.07772634333519868,4.7,cohort_d,Demographics,lb_7reg
cohort_d|Demographics|lb_7reg,LR-elasticnet,Block PCA,187,6,0.21390374331550802,0.3438963956635925,0.08246527666556644,0.5510727969348659,0.07504330869377784,4.7,cohort_d,Demographics,lb_7reg
cohort_d|Demographics|lb_7reg,SVC-RBF,Block PCA,187,6,0.21390374331550802,0.3156678906918778,0.07589691655087555,0.5473754789272031,0.07549315024403112,3.2,cohort_d,Demographics,lb_7reg
cohort_d|Demographics|lb_7reg,RF,Block PCA,187,6,0.21390374331550802,0.29875564883399125,0.08121697592909306,0.4736015325670497,0.09676789333913932,42.0,cohort_d,Demographics,lb_7reg
cohort_d|Demographics|lb_7reg,HistGB,Block PCA,187,6,0.21390374331550802,0.29088336304953366,0.08831515326459133,0.48586206896551726,0.07597425815635811,7.9,cohort_d,Demographics,lb_7reg
cohort_d|Demographics|tdp_st4_bin,LR-l2,Block PCA,187,6,0.5401069518716578,0.6632602453495291,0.07443292629286374,0.6135543106131341,0.07421871103778498,1.9,cohort_d,Demographics,tdp_st4_bin
cohort_d|Demographics|tdp_st4_bin,LR-l1,Block PCA,187,6,0.5401069518716578,0.7134656477021503,0.0736789515417696,0.6590071584189232,0.0741257315276876,2.0,cohort_d,Demographics,tdp_st4_bin
cohort_d|Demographics|tdp_st4_bin,LR-elasticnet,Block PCA,187,6,0.5401069518716578,0.7142974833166184,0.07126924106821053,0.6561772486772488,0.07219688266386479,2.2,cohort_d,Demographics,tdp_st4_bin
